user_id,income_regularity,spending_consistency,bill_payment_ratio,savings_rate,emi_burden_ratio,upi_activity_volume,rent_payment_regularity,cash_withdrawal_ratio,TARGET
USR_0073,0.3769,0.2171,0.6667,0.6401,0.1489,3.3333,0.744,0.1683,0
USR_0074,0.5866,0.6195,0.6875,0.4553,0.1799,9.5,0.7945,0.0366,0
USR_0075,0.3386,0.4129,0.8,-0.8934,0.1254,3.0,0.6714,0.2556,1
USR_0076,0.0,0.7219,0.75,-0.0284,0.5804,9.6667,0.711,0.0832,0
USR_0077,0.1672,0.3407,0.625,-0.2106,0.253,8.2857,0.691,0.0893,0
USR_0078,0.7299,0.3373,0.875,-0.5134,0.0326,6.8333,0.6712,0.2014,0
USR_0079,0.0,0.4927,1.0,-0.4306,0.3583,5.7143,0.6737,0.131,1
USR_0080,0.1052,0.6104,0.6667,0.1456,0.0705,4.6667,0.7724,0.0625,0
USR_0081,0.4634,0.6256,1.0,-0.0259,0.163,7.6667,0.7072,0.1678,0
USR_0082,0.2459,0.4852,0.6,0.6715,0.0453,9.1667,0.654,0.1158,0
USR_0083,0.6171,0.6001,0.6875,0.1652,0.4281,6.5,0.7729,0.0632,0
USR_0084,0.2312,0.3795,1.0,-0.5167,0.6763,1.6667,0.8701,0.0139,1
USR_0085,0.5131,0.3506,0.8,0.3807,0.2103,6.5,0.7968,0.1165,0
USR_0086,0.4922,0.3726,0.6667,-0.1204,0.2238,5.1429,0.7942,0.0743,0
USR_0087,0.4219,0.7343,0.6667,0.4578,0.2366,6.8333,0.5924,0.0398,0
USR_0088,0.4031,0.5794,1.0,0.5598,0.1994,5.1667,0.7158,0.1029,0
USR_0089,0.5895,0.3939,1.0,0.6049,0.158,5.8333,0.6623,0.0251,0
USR_0090,0.4596,0.8327,0.6667,-0.7821,0.5316,4.1667,0.7568,0.068,1
USR_0091,0.0,0.4538,1.0,0.321,0.1927,7.0,0.7657,0.048,0
USR_0092,0.7038,0.5436,0.8333,-0.2012,0.2005,6.0,0.8957,0.0815,0
USR_0093,0.752,0.6062,0.9,-0.1655,0.6095,6.0,0.7064,0.0722,0
USR_0094,0.0,0.5409,1.0,0.1411,0.0366,5.1429,0.7531,0.1887,0
USR_0095,0.4746,0.4455,1.0,-0.0437,0.0774,6.8333,0.5,0.1603,0
USR_0096,0.0,0.4833,0.7273,0.3966,0.1809,7.5,0.8038,0.111,0
USR_0097,0.4083,0.4901,0.8,-0.1349,0.3001,4.1429,0.7965,0.1401,0
USR_0098,0.0007,0.4574,0.6,0.1609,0.1924,3.3333,0.7574,0.0938,0
USR_0099,0.0,0.2366,1.0,0.6478,0.1136,3.0,0.8389,0.0653,0
USR_0100,0.2095,0.3796,0.8,0.3869,0.1134,3.5,0.7941,0.0,0
USR_0101,0.169,0.5001,0.6667,0.2017,0.1993,4.3333,0.4956,0.1863,0
USR_0102,0.0,0.6644,1.0,-0.1084,0.4441,8.3333,0.7179,0.088,0
USR_0103,0.0,0.4571,0.7143,0.2761,0.1234,6.8333,0.7464,0.0553,0
USR_0104,0.3169,0.6343,0.8182,-0.3775,0.547,8.5,0.6959,0.1166,0
USR_0105,0.0379,0.0686,0.75,-0.0712,0.3166,3.0,0.5,0.1021,0
USR_0106,0.0,0.5075,0.9375,0.335,0.2572,6.5714,0.7352,0.0426,0
USR_0107,0.4025,0.5526,0.8333,0.4868,0.1674,7.3333,0.7106,0.09,0
USR_0108,0.6774,0.5513,0.6667,-0.621,0.383,5.5,0.7701,0.253,0
USR_0109,0.3995,0.9476,1.0,0.5624,0.3737,2.6667,0.5,0.0158,0
USR_0110,0.3716,0.411,0.9231,-0.5979,0.1902,7.7143,0.7202,0.0911,0
USR_0111,0.6149,0.6324,1.0,-0.4156,0.1998,5.8333,0.739,0.2848,0
USR_0112,0.0,0.514,0.7143,-0.4021,0.3668,5.8571,0.758,0.1558,1
USR_0113,0.0,0.4111,0.75,0.8116,0.0382,7.0,0.5,0.1273,0
USR_0114,0.7059,0.514,0.6,-0.5875,0.3186,7.5,0.7761,0.1311,0
USR_0115,0.4463,0.5818,0.7143,-0.7013,0.4664,7.5,0.6529,0.0594,1
USR_0116,0.1812,0.5652,0.6667,-0.0481,0.067,10.1667,0.6988,0.2225,0
USR_0117,0.0,0.2144,1.0,0.2176,0.2199,4.2857,0.6874,0.1144,0
USR_0118,0.5125,0.5879,1.0,-1.0,0.6073,7.8333,0.7528,0.0801,1
USR_0119,0.5246,0.5114,0.7273,0.0632,0.0324,8.6667,0.6954,0.1311,0
USR_0120,0.0,0.5163,0.5455,0.5488,0.1112,9.0,0.7328,0.0764,0
USR_0121,0.0,0.4859,0.875,0.3801,0.1945,4.3333,0.7278,0.0759,0
USR_0122,0.2367,0.3676,0.6667,0.1261,0.334,7.7143,0.6806,0.1211,0
USR_0123,0.1435,0.1046,0.6667,0.4338,0.0849,5.8571,0.6678,0.1077,0
USR_0124,0.5639,0.1645,0.5,-1.0,1.0,3.1667,0.6696,0.0,1
USR_0125,0.2427,0.7778,0.7778,-0.7063,0.1291,8.5,0.6914,0.204,1
USR_0126,0.5106,0.4742,0.9091,0.0915,0.1014,7.6667,0.7189,0.286,0
USR_0127,0.47,0.4393,1.0,-0.9941,0.1959,3.1667,0.8843,0.0582,1
USR_0128,0.4835,0.5973,1.0,0.0171,0.4221,7.1667,0.76,0.1561,0
USR_0129,0.3753,0.6554,0.7143,-0.85,0.1047,5.8333,0.8087,0.2635,1
USR_0130,0.0587,0.3574,0.8182,0.1247,0.1467,7.3333,0.8291,0.144,0
USR_0131,0.6955,0.2619,0.6667,0.218,0.045,2.1667,0.717,0.41,0
USR_0132,0.2443,0.6395,0.6429,-0.3758,0.2218,7.5,0.621,0.2903,0
USR_0133,0.2438,0.6944,0.8333,0.3078,0.4821,3.0,0.6313,0.0198,0
USR_0134,0.1618,0.6803,1.0,-0.4533,0.0457,3.5714,0.6713,0.2099,0
USR_0135,0.2889,0.335,0.875,0.0057,0.4791,4.3333,0.7759,0.0234,0
USR_0136,0.7666,0.5444,0.5333,-0.5623,0.1881,6.0,0.7639,0.1872,1
USR_0137,0.3453,0.0999,0.6667,0.3329,0.1683,5.2857,0.7325,0.1124,0
USR_0138,0.507,0.7752,1.0,-0.2851,0.0612,6.8333,0.7665,0.2727,0
USR_0139,0.2755,0.6175,0.875,-1.0,0.148,5.1667,0.8258,0.2384,1
USR_0140,0.0,0.3487,1.0,-0.3202,0.443,4.3333,0.5268,0.0593,0
USR_0141,0.1017,0.5058,0.8182,-0.7804,0.5289,3.8571,0.7787,0.1237,1
USR_0142,0.2735,0.1779,0.6667,0.0538,0.3972,2.6667,0.8135,0.1125,0
USR_0143,0.2431,0.2398,0.75,0.446,0.1918,3.1667,0.7058,0.1115,0
USR_0144,0.3624,0.0915,1.0,0.7804,0.0987,2.6667,0.5,0.1184,0
USR_0145,0.3878,0.4085,0.75,0.2604,0.1817,6.8333,0.7042,0.0673,0
USR_0146,0.2261,0.411,0.8333,0.4359,0.3025,7.1667,0.7028,0.0676,0
USR_0147,0.3978,0.5467,0.8125,-0.4761,0.7128,6.7143,0.5817,0.0915,1
USR_0148,0.0584,0.4296,0.7143,-0.4596,0.6343,5.1667,0.9048,0.0699,1
USR_0149,0.05,0.6345,0.5833,-1.0,0.2871,6.5,0.8337,0.1113,1
USR_0150,0.4251,0.4387,0.5,0.459,0.2103,3.3333,0.5,0.0771,0
USR_0151,0.1161,0.4034,0.9167,0.4077,0.3834,6.0,0.8801,0.0363,0
USR_0152,0.2537,0.709,0.6667,-1.0,0.1561,6.8571,0.6802,0.0629,0
USR_0153,0.8669,0.693,0.6,-0.9382,0.1869,4.8333,0.6966,0.1947,1
USR_0154,0.0,0.2154,1.0,-0.4213,0.8664,4.4286,0.7322,0.0555,1
USR_0155,0.1558,0.7709,0.8462,0.132,0.3948,8.3333,0.6986,0.1267,0
USR_0156,0.6397,0.5656,1.0,0.0331,0.1755,8.5,0.7721,0.1607,0
USR_0157,0.1978,0.6922,0.6667,-0.4356,0.2801,9.1667,0.7256,0.1692,1
USR_0158,0.3985,0.7025,0.6667,-1.0,0.165,6.5,0.7469,0.2237,0
USR_0159,0.0425,0.4922,0.8,-0.089,0.24,7.5,0.7075,0.1245,0
USR_0160,0.5171,0.4048,1.0,-0.3851,0.0156,2.2857,0.918,0.3576,0
USR_0161,0.2483,0.6191,0.7143,0.0159,0.3358,5.6667,0.7127,0.1175,0
USR_0162,0.0,0.1864,1.0,-0.345,0.8341,2.8333,0.5457,0.0858,1
USR_0163,0.6626,0.33,0.8,-0.419,0.1837,2.5,0.5663,0.2106,0
USR_0164,0.0,0.0,0.875,0.2575,0.4647,5.8571,0.7476,0.051,0
USR_0165,0.448,0.3467,1.0,-0.1914,0.1281,2.0,0.8325,0.1258,0
USR_0166,0.2356,0.4295,0.8333,-1.0,0.0514,3.1667,0.6872,0.2037,1
USR_0167,0.532,0.6783,0.7143,-0.5143,0.9247,7.6667,0.6674,0.0658,1
USR_0168,0.554,0.6772,0.6,0.3496,0.1125,7.1667,0.8853,0.1354,0
USR_0169,0.0,0.6734,1.0,-1.0,1.0,6.3333,0.7158,0.0249,1
USR_0170,0.0,0.5852,0.8333,-0.3158,0.8883,6.1667,0.7176,0.0926,1
USR_0171,0.2803,0.638,1.0,0.2429,0.135,2.8333,0.6502,0.0,0
USR_0172,0.4465,0.6997,0.8667,-1.0,0.6732,7.3333,0.7345,0.1637,1
USR_0173,0.5595,0.3934,1.0,-1.0,0.0182,8.6667,0.6572,0.231,0
USR_0174,0.1654,0.7312,0.8182,-0.2413,0.2028,10.0,0.7477,0.2077,0
USR_0175,0.9308,0.6653,1.0,0.185,0.2413,8.6667,0.7666,0.1332,0
USR_0176,0.2457,0.7213,0.7059,0.4695,0.1652,9.6667,0.7395,0.034,0
USR_0177,0.217,0.4123,1.0,0.3724,0.3864,4.8333,0.7857,0.0506,0
USR_0178,0.7277,0.7245,0.75,-0.9933,0.6992,8.1667,0.7647,0.1721,1
USR_0179,0.494,0.4822,0.5556,0.5149,0.0358,3.1667,0.6038,0.1183,0
USR_0180,0.4116,0.6348,0.8667,-0.4396,0.2824,10.5,0.7244,0.177,1
USR_0181,0.3443,0.8622,1.0,-0.3398,0.0516,7.0,0.7097,0.3004,0
USR_0182,0.6309,0.2193,0.5556,0.2713,0.4301,8.3333,0.7546,0.1097,0
USR_0183,0.0,0.5073,1.0,-0.9489,1.0,4.3333,0.7721,0.0539,1
USR_0184,0.0,0.0458,0.6667,-1.0,1.0,3.0,0.7953,0.1419,1
USR_0185,0.0,0.5637,1.0,-0.4609,0.6563,4.8333,0.5,0.1333,1
USR_0186,0.2324,0.5278,0.8333,-0.2809,0.6068,3.1667,0.8316,0.0646,1
USR_0187,0.4554,0.5412,0.8,-0.2369,0.1213,8.8333,0.797,0.1247,0
USR_0188,0.0,0.5787,1.0,-0.023,0.4584,4.6667,0.8137,0.1508,0
USR_0189,0.4708,0.791,0.5,-0.6429,0.1565,4.1667,0.6251,0.3219,1
USR_0190,0.5106,0.4401,0.875,0.0351,0.3114,6.5714,0.6766,0.1184,0
USR_0191,0.3757,0.609,0.5455,0.211,0.3734,5.8571,0.7883,0.0564,0
USR_0192,0.6332,0.6824,0.625,0.5085,0.174,6.0,0.721,0.093,0
USR_0193,0.3363,0.258,1.0,0.2107,0.406,6.5714,0.6861,0.0325,0
USR_0194,0.6414,0.5304,0.6875,0.1252,0.0768,5.8571,0.6149,0.1792,0
USR_0195,0.3762,0.5405,0.625,-1.0,0.3627,3.3333,0.7021,0.1793,1
USR_0196,0.3712,0.5004,0.65,0.6094,0.04,8.3333,0.8453,0.1357,0
USR_0197,0.0,0.1389,0.7143,0.0594,0.611,5.5,0.9521,0.0869,0
USR_0198,0.4178,0.6382,1.0,0.1176,0.2042,5.8333,0.6931,0.1604,0
USR_0199,0.4796,0.7764,1.0,-0.6812,0.0506,6.1667,0.7202,0.1421,0
USR_0200,0.0,0.3339,1.0,0.0701,0.4409,5.1667,0.7035,0.0905,0
USR_0201,0.0,0.5451,0.8333,0.0734,0.2855,5.8571,0.7319,0.1696,0
USR_0202,0.0,0.3169,0.75,-1.0,1.0,1.5714,0.8378,0.2107,1
USR_0203,0.4148,0.8009,0.9167,-0.2508,0.1551,9.3333,0.7386,0.1257,0
USR_0204,0.3204,0.7178,0.8,-0.3061,0.3876,8.5,0.8114,0.2175,0
USR_0205,0.453,0.6808,0.75,0.0078,0.2883,9.1667,0.7398,0.158,0
USR_0206,0.4356,0.5938,1.0,-1.0,0.2564,6.0,0.8049,0.1609,1
USR_0207,0.5526,0.8724,1.0,0.2037,0.3425,3.6667,0.843,0.0365,0
USR_0208,0.5761,0.7134,0.75,0.703,0.0746,9.0,0.7863,0.074,0
USR_0209,0.0571,0.7105,0.6667,0.5994,0.0725,5.3333,0.7007,0.0498,0
USR_0210,0.7472,0.8753,0.5,0.0519,0.2057,4.0,0.7014,0.1362,0
USR_0211,0.4937,0.4435,0.6,-0.1863,0.1169,7.0,0.8629,0.1447,0
USR_0212,0.0218,0.4502,0.7273,0.155,0.0961,6.2857,0.6839,0.0903,0
USR_0213,0.5154,0.6922,1.0,0.1863,0.1655,7.3333,0.6803,0.1629,0
USR_0214,0.1031,0.0,1.0,0.7644,0.1592,2.6667,0.5,0.0506,0
USR_0215,0.3031,0.585,1.0,0.1418,0.3986,6.5,0.8786,0.1713,0
USR_0216,0.526,0.3879,0.75,0.7784,0.0384,3.8333,0.5,0.1569,0
USR_0217,0.5074,0.6102,0.8571,-0.1592,0.4161,7.0,0.8031,0.0417,0
USR_0218,0.74,0.298,1.0,0.6026,0.0443,4.8333,0.8321,0.118,0
USR_0219,0.6693,0.309,0.6667,0.0956,0.2862,5.6667,0.6547,0.0818,0
USR_0220,0.1736,0.3568,0.6667,-0.5455,0.0783,7.5,0.6427,0.0663,1
USR_0221,0.0,0.6049,1.0,0.2906,0.4121,4.3333,0.6194,0.0301,0
USR_0222,0.7436,0.3533,0.8333,-0.0354,0.3824,6.4286,0.7813,0.0924,0
USR_0223,0.02,0.2256,1.0,-0.5183,0.775,6.6667,0.6637,0.0808,0
USR_0224,0.5201,0.8153,0.9286,-1.0,0.1568,9.5,0.6997,0.2356,1
USR_0225,0.3713,0.7306,0.875,0.4497,0.1143,8.5,0.7699,0.1971,0
USR_0226,0.3406,0.456,0.625,0.543,0.0786,2.6667,0.7954,0.1863,0
USR_0227,0.9335,0.5911,1.0,0.7946,0.0619,2.5,0.5,0.0647,0
USR_0228,0.0,0.1691,0.75,0.224,0.2834,3.8333,0.7654,0.0816,0
USR_0229,0.5338,0.6034,0.6667,-1.0,0.4173,6.3333,0.8548,0.3104,1
USR_0230,0.7421,0.7657,1.0,0.2025,0.3284,9.0,0.7316,0.0661,0
USR_0231,0.6682,0.6189,1.0,-0.051,0.1817,4.6667,0.627,0.186,0
USR_0232,0.0,0.0663,1.0,-0.5032,0.7277,2.3333,0.8393,0.0738,1
USR_0233,0.0,0.6425,0.7647,0.3296,0.3395,7.3333,0.6748,0.0583,0
USR_0234,0.5454,0.5369,1.0,-0.146,0.1455,7.5,0.8053,0.082,0
USR_0235,0.3017,0.6783,1.0,-0.3648,0.3818,8.8333,0.7106,0.1221,0
USR_0236,0.1986,0.4449,1.0,0.0157,0.2292,5.2857,0.8408,0.1431,0
USR_0237,0.4852,0.6618,1.0,-1.0,0.2811,6.3333,0.6794,0.2634,0
USR_0238,0.1235,0.8371,1.0,0.0065,0.4706,6.5,0.7683,0.0705,0
USR_0239,0.178,0.6652,1.0,0.523,0.2572,8.5,0.7128,0.0697,0
USR_0240,0.3175,0.8637,0.875,0.5674,0.199,6.5,0.6965,0.0966,0
USR_0241,0.4273,0.7618,0.8333,0.4028,0.0321,9.0,0.7063,0.1295,0
USR_0242,0.1084,0.6433,0.5714,-0.4259,0.1852,3.6667,0.7414,0.2485,0
USR_0243,0.0958,0.6491,0.6,-1.0,1.0,5.1429,0.7433,0.0382,1
USR_0244,0.4807,0.6163,1.0,-1.0,0.3857,9.0,0.8101,0.2718,1
USR_0245,0.3791,0.5815,1.0,0.3451,0.0412,4.8333,0.6473,0.1108,0
USR_0246,0.1005,0.4804,0.9091,-0.2208,0.4575,9.5,0.8584,0.123,0
USR_0247,0.5595,0.8222,0.6875,0.4798,0.2713,8.6667,0.8405,0.0808,0
USR_0248,0.0915,0.5356,1.0,-0.0677,0.6403,7.0,0.7425,0.0922,0
USR_0249,0.8353,0.33,1.0,0.5988,0.1352,7.2857,0.7656,0.0725,0
USR_0250,0.324,0.6504,0.6429,0.0751,0.1722,9.3333,0.7568,0.1541,0
USR_0251,0.0703,0.6892,0.6,-0.3641,0.241,6.5,0.6973,0.1432,1
USR_0252,0.2531,0.6697,1.0,-0.1815,0.2372,7.5,0.7213,0.1826,0
USR_0253,0.0,0.4443,0.8,-0.4346,0.3856,5.4286,0.5453,0.176,1
USR_0254,0.0029,0.4459,0.6364,-0.4407,0.1751,7.5714,0.7208,0.0609,1
USR_0255,0.0,0.545,0.7692,-0.2258,0.2247,7.5714,0.8142,0.0449,1
USR_0256,0.0,0.3709,0.75,-0.2718,0.5691,4.6667,0.7507,0.0971,1
USR_0257,0.2283,0.7165,0.5,-1.0,0.3547,5.1667,0.7638,0.3005,1
USR_0258,0.5847,0.6514,0.6,-0.0334,0.4858,8.0,0.7112,0.1048,0
USR_0259,0.1808,0.6014,1.0,-0.1645,0.5902,5.1667,0.8559,0.0612,0
USR_0260,0.9172,0.5489,0.8889,0.0362,0.2281,9.0,0.661,0.1864,0
USR_0261,0.4739,0.6226,0.8889,-0.8329,0.1828,6.6667,0.6227,0.3468,0
USR_0262,0.6726,0.5702,1.0,-0.7564,0.2936,8.0,0.7151,0.0834,0
USR_0263,0.1274,0.0896,0.75,0.3561,0.1334,2.5,0.8044,0.0603,0
USR_0264,0.2847,0.6452,0.6,-1.0,0.3504,5.5,0.7238,0.1607,1
USR_0265,0.483,0.6977,1.0,-1.0,0.3156,4.6667,0.5,0.3293,1
USR_0266,0.0201,0.4317,0.8,0.3264,0.1373,6.7143,0.7166,0.1212,0
USR_0267,0.4282,0.5513,1.0,-0.3338,0.3713,5.7143,0.7375,0.1306,0
USR_0268,0.0147,0.4737,1.0,-0.9727,1.0,5.4286,0.7435,0.1193,1
USR_0269,0.6308,0.5947,1.0,-0.1804,0.2531,6.0,0.7903,0.2126,0
USR_0270,0.0249,0.3881,1.0,-0.6784,0.9479,2.3333,0.6242,0.1617,1
USR_0271,0.3346,0.6789,0.8889,-0.1665,0.0799,3.5,0.5854,0.2731,0
USR_0272,0.1773,0.7615,0.8,-0.4732,0.522,3.3333,0.5,0.2935,0
USR_0273,0.2789,0.5628,0.7778,0.14,0.0713,5.8571,0.7303,0.1278,0
USR_0274,0.2693,0.7659,0.6667,0.2395,0.186,8.5,0.7245,0.1301,0
USR_0275,0.0888,0.0721,0.75,0.1691,0.2726,2.1667,0.7413,0.168,0
USR_0276,0.5943,0.6219,1.0,-1.0,0.0126,7.3333,0.7612,0.2729,1
USR_0277,0.0273,0.6772,0.7273,0.5242,0.1585,6.0,0.8027,0.0613,0
USR_0278,0.1399,0.0,1.0,0.5003,0.1145,2.5,0.8273,0.1701,0
USR_0279,0.8194,0.4475,1.0,-1.0,0.0369,7.3333,0.7317,0.233,0
USR_0280,0.2788,0.5181,1.0,-0.7823,0.019,6.8333,0.7212,0.3265,0
USR_0281,0.412,0.6169,0.8,0.1813,0.4003,7.8333,0.657,0.0642,1
USR_0282,0.4551,0.7378,0.7059,-1.0,0.6992,8.5,0.7619,0.1099,1
USR_0283,0.5192,0.6452,0.85,-0.396,0.3504,8.8333,0.6208,0.1584,0
USR_0284,0.9315,0.5366,0.8,-0.1474,0.6577,4.0,0.6854,0.0562,0
USR_0285,0.2362,0.6288,0.7778,-0.8077,0.1886,9.8333,0.7528,0.1372,1
USR_0286,0.185,0.1037,0.8889,0.3327,0.2063,6.6667,0.8951,0.0628,0
USR_0287,0.2565,0.4789,0.7,-0.1008,0.2242,9.6667,0.7089,0.2224,0
USR_0288,0.6144,0.5639,0.8,-0.2692,0.5978,9.1667,0.7347,0.027,0
USR_0289,0.4078,0.5303,0.75,0.0357,0.2591,3.8333,0.7202,0.138,0
USR_0290,0.0291,0.5628,0.6667,-0.2272,0.71,6.8333,0.6906,0.0745,1
USR_0291,0.1329,0.7146,0.7,-1.0,0.5849,7.1667,0.7412,0.1106,1
USR_0292,0.3506,0.7191,0.9167,0.2422,0.424,3.1429,0.7655,0.0319,0
USR_0293,0.0053,0.3567,1.0,0.1271,0.3165,2.6667,0.6721,0.0662,0
USR_0294,0.564,0.5508,1.0,-0.2372,0.4409,5.6667,0.7004,0.1174,0
USR_0295,0.2014,0.518,1.0,0.4522,0.268,7.6667,0.7202,0.1091,0
USR_0296,0.3069,0.4021,1.0,0.472,0.3187,3.5,0.5,0.1514,0
