user_id,age,employment_type,loan_type,monthly_income,cibil_score,existing_emi,account_age_months,state
USR_0087,60,self_employed,xpress_credit,147326,644.0,45699.84,16,KA
USR_0088,25,self_employed,xpress_power,135827,,52280.28,32,KA
USR_0089,67,self_employed,xpress_credit,131465,641.0,36278.09,22,TN
USR_0090,38,retired,xpress_credit,26907,,16984.81,49,MH
USR_0091,31,salaried,two_wheeler,106865,,38764.69,86,GJ
USR_0092,64,farmer,two_wheeler,22660,729.0,4216.51,56,UP
USR_0093,39,retired,xpress_credit,54247,,29068.59,14,TN
USR_0094,68,salaried,xpress_power,33030,,3952.43,38,GJ
USR_0095,52,student,two_wheeler,11152,,1878.94,39,DL
USR_0096,34,salaried,two_wheeler,110462,694.0,30145.35,25,TN
USR_0097,21,retired,xpress_credit,36734,660.0,19429.88,111,RJ
USR_0098,25,salaried,xpress_credit,96264,775.0,20102.77,59,UP
USR_0099,62,salaried,xpress_power,127581,,36677.23,112,DL
USR_0100,21,salaried,two_wheeler,91125,580.0,28864.57,36,AP
USR_0101,41,salaried,xpress_credit,31389,667.0,6831.4,102,DL
USR_0102,68,salaried,xpress_power,68441,667.0,35049.94,84,KL
USR_0103,50,self_employed,two_wheeler,77584,,11663.65,100,GJ
USR_0104,30,gig_worker,two_wheeler,33477,687.0,23215.43,13,KL
USR_0105,57,salaried,xpress_credit,23512,,10278.63,24,TN
USR_0106,55,self_employed,two_wheeler,116288,,61058.63,9,UP
USR_0107,51,salaried,xpress_credit,99555,,42152.34,64,WB
USR_0108,46,gig_worker,two_wheeler,33828,,19834.58,37,DL
USR_0109,22,self_employed,two_wheeler,135501,638.0,66929.14,72,GJ
USR_0110,56,gig_worker,two_wheeler,15804,612.0,5954.45,25,GJ
USR_0111,34,gig_worker,xpress_power,28417,,11447.85,70,KA
USR_0112,23,gig_worker,xpress_power,32519,706.0,12097.89,94,TN
USR_0113,56,salaried,xpress_credit,146994,838.0,10553.59,86,KL
USR_0114,19,gig_worker,xpress_power,21946,843.0,8750.15,47,RJ
USR_0115,53,gig_worker,two_wheeler,15863,722.0,8217.41,95,KA
USR_0116,68,gig_worker,xpress_power,10116,587.0,2000.72,23,KL
USR_0117,64,salaried,xpress_credit,130033,,18259.95,82,UP
USR_0118,42,student,xpress_credit,10147,682.0,6591.74,72,UP
USR_0119,59,farmer,two_wheeler,12196,,1436.21,41,MH
USR_0120,39,self_employed,two_wheeler,86589,,14816.12,87,GJ
USR_0121,18,self_employed,xpress_credit,194245,686.0,35668.6,57,TN
USR_0122,70,retired,xpress_credit,59688,,38672.22,2,UP
USR_0123,24,salaried,two_wheeler,141161,800.0,19982.34,24,TN
USR_0124,42,self_employed,xpress_credit,186837,834.0,79850.85,22,RJ
USR_0125,43,gig_worker,two_wheeler,25350,,3717.09,118,RJ
USR_0126,39,gig_worker,two_wheeler,17916,,4505.14,94,GJ
USR_0127,40,student,two_wheeler,11914,707.0,2072.4,45,KA
USR_0128,46,gig_worker,xpress_power,36071,627.0,18545.49,114,UP
USR_0129,19,student,xpress_power,14485,,1693.85,8,AP
USR_0130,46,self_employed,xpress_credit,50806,711.0,16038.3,87,MH
USR_0131,45,gig_worker,xpress_credit,27846,796.0,5987.66,87,WB
USR_0132,25,retired,xpress_credit,45822,840.0,9533.81,78,UP
USR_0133,49,salaried,xpress_credit,128453,,40354.15,55,MH
USR_0134,65,self_employed,xpress_power,16150,634.0,1086.02,19,GJ
USR_0135,53,salaried,xpress_power,133865,783.0,78487.7,67,KL
USR_0136,40,farmer,xpress_credit,12083,,2328.17,86,KL
USR_0137,61,salaried,xpress_credit,34063,,12436.6,81,DL
USR_0138,31,student,xpress_power,10368,553.0,1409.84,29,AP
USR_0139,62,student,xpress_credit,9981,590.0,2277.02,17,DL
USR_0140,54,self_employed,xpress_credit,138377,576.0,87871.07,6,GJ
USR_0141,44,gig_worker,xpress_power,30520,,9833.57,92,KL
USR_0142,63,self_employed,xpress_power,111371,,49231.42,26,TN
USR_0143,46,salaried,xpress_power,72492,662.0,37623.08,104,RJ
USR_0144,52,salaried,xpress_power,131021,618.0,47749.39,36,UP
USR_0145,64,self_employed,xpress_power,173059,,26051.76,73,GJ
USR_0146,43,salaried,xpress_power,147596,766.0,75008.52,104,MH
USR_0147,59,self_employed,two_wheeler,23350,721.0,15854.76,102,WB
USR_0148,51,salaried,xpress_credit,38051,,25698.28,17,TN
USR_0149,27,student,xpress_credit,10982,629.0,6780.45,8,TN
USR_0150,48,gig_worker,xpress_credit,29988,574.0,19107.95,12,MH
USR_0151,32,self_employed,xpress_credit,132732,565.0,86463.14,23,DL
USR_0152,43,student,xpress_credit,3390,,1706.27,9,MH
USR_0153,68,student,xpress_credit,4500,,2746.47,39,MH
USR_0154,52,self_employed,xpress_power,158922,,69540.36,99,GJ
USR_0155,61,salaried,two_wheeler,111443,732.0,34872.25,39,KL
USR_0156,32,gig_worker,two_wheeler,19779,759.0,7676.41,109,DL
USR_0157,59,retired,two_wheeler,10545,,6522.67,13,KL
USR_0158,35,student,xpress_power,12005,794.0,4344.1,16,WB
USR_0159,61,salaried,two_wheeler,73606,614.0,15104.33,3,GJ
USR_0160,62,student,xpress_credit,9467,842.0,732.37,65,WB
USR_0161,70,gig_worker,xpress_power,17155,,9626.09,43,GJ
USR_0162,23,salaried,two_wheeler,146878,,101782.08,71,DL
USR_0163,69,gig_worker,two_wheeler,24220,,3105.49,107,RJ
USR_0164,51,self_employed,two_wheeler,168448,,96099.63,54,WB
USR_0165,64,retired,xpress_credit,40448,727.0,14936.28,17,RJ
USR_0166,41,salaried,xpress_power,22906,,1664.4,68,GJ
USR_0167,31,salaried,xpress_power,98300,,65976.35,76,KA
USR_0168,59,self_employed,xpress_power,56542,,16524.26,72,WB
USR_0169,22,salaried,two_wheeler,85831,,54194.72,77,DL
USR_0170,34,self_employed,two_wheeler,150588,,88250.99,56,MH
USR_0171,57,salaried,xpress_power,86719,717.0,18162.05,59,UP
USR_0172,65,gig_worker,two_wheeler,26988,,13611.24,60,RJ
USR_0173,24,student,xpress_credit,5808,572.0,309.82,32,GJ
USR_0174,60,gig_worker,xpress_power,26787,,4702.09,13,WB
USR_0175,63,self_employed,two_wheeler,138232,712.0,18452.82,83,AP
USR_0176,47,salaried,two_wheeler,44257,771.0,23894.54,22,DL
USR_0177,21,salaried,xpress_credit,98807,,54456.47,17,WB
USR_0178,27,salaried,two_wheeler,24077,,16439.0,29,KA
USR_0179,29,salaried,two_wheeler,92475,578.0,5953.57,6,KL
USR_0180,64,farmer,two_wheeler,18025,,12583.81,81,MH
USR_0181,52,student,xpress_power,13396,837.0,1387.12,78,KA
USR_0182,37,salaried,two_wheeler,149165,641.0,78360.18,47,DL
USR_0183,33,salaried,xpress_credit,63901,,40332.04,15,KA
USR_0184,51,gig_worker,xpress_power,34431,561.0,14315.99,108,TN
USR_0185,33,self_employed,xpress_power,31563,557.0,17394.34,46,WB
USR_0186,67,salaried,xpress_credit,97879,595.0,34293.2,94,RJ
USR_0187,31,salaried,xpress_credit,26536,715.0,5217.01,60,MH
USR_0188,39,self_employed,two_wheeler,59268,613.0,20500.39,72,KA
USR_0189,38,student,xpress_power,11357,766.0,6917.32,102,UP
USR_0190,58,salaried,xpress_power,45087,,9347.85,46,KL
USR_0191,49,salaried,two_wheeler,111347,791.0,29195.17,2,RJ
USR_0192,50,salaried,two_wheeler,127360,,39226.9,66,DL
USR_0193,55,self_employed,xpress_credit,85897,,41724.51,104,MH
USR_0194,28,farmer,xpress_credit,24528,,2054.99,32,DL
USR_0195,58,gig_worker,xpress_credit,29767,633.0,8056.22,7,AP
USR_0196,28,salaried,xpress_credit,113511,552.0,8682.48,60,KL
USR_0197,59,self_employed,xpress_credit,121562,574.0,74962.34,19,DL
USR_0198,63,gig_worker,xpress_power,19894,849.0,8176.16,18,UP
USR_0199,36,retired,two_wheeler,12920,,1330.66,115,UP
USR_0200,52,self_employed,two_wheeler,65230,762.0,34093.1,61,KA
USR_0201,41,retired,xpress_credit,35963,569.0,13599.38,50,KA
USR_0202,66,student,two_wheeler,12465,,5534.74,79,KL
USR_0203,51,retired,xpress_power,55241,674.0,10326.22,109,DL
USR_0204,35,gig_worker,xpress_power,32288,636.0,14889.65,14,RJ
USR_0205,31,self_employed,two_wheeler,36916,660.0,16073.11,103,GJ
USR_0206,42,gig_worker,two_wheeler,11216,615.0,6815.86,5,MH
USR_0207,18,salaried,two_wheeler,101475,,20643.34,67,KL
USR_0208,71,self_employed,xpress_credit,86367,,12500.91,5,DL
USR_0209,37,self_employed,xpress_credit,164571,833.0,12151.33,37,RJ
USR_0210,64,retired,xpress_credit,19847,,8543.74,79,GJ
USR_0211,23,gig_worker,xpress_power,9939,,3928.49,20,RJ
USR_0212,43,salaried,xpress_power,147130,728.0,11332.3,106,MH
USR_0213,37,retired,xpress_power,25398,733.0,9781.72,50,RJ
USR_0214,40,salaried,xpress_power,94141,,47827.63,106,AP
USR_0215,25,salaried,xpress_credit,25225,554.0,17056.53,47,WB
USR_0216,51,salaried,xpress_power,63320,,13214.61,26,TN
USR_0217,25,gig_worker,two_wheeler,18055,696.0,11944.63,14,TN
USR_0218,70,salaried,xpress_power,125169,,10180.97,73,RJ
USR_0219,50,gig_worker,xpress_credit,28212,647.0,8821.64,110,AP
USR_0220,21,salaried,xpress_power,19114,678.0,2449.19,54,RJ
USR_0221,24,salaried,two_wheeler,106736,,44427.29,19,UP
USR_0222,46,gig_worker,xpress_power,36144,,15984.38,110,AP
USR_0223,31,self_employed,xpress_credit,87576,,33927.22,70,MH
USR_0224,45,self_employed,xpress_credit,11177,,4384.8,79,KA
USR_0225,61,self_employed,two_wheeler,83770,570.0,14848.71,119,DL
USR_0226,33,self_employed,xpress_power,97163,,8664.39,21,UP
USR_0227,30,self_employed,xpress_credit,147084,706.0,84127.17,35,KL
USR_0228,25,self_employed,xpress_credit,124793,,85467.16,90,DL
USR_0229,42,student,xpress_power,10052,790.0,4209.3,42,AP
USR_0230,53,salaried,xpress_credit,134891,722.0,62258.72,13,DL
USR_0231,39,student,two_wheeler,13617,,8698.94,24,RJ
USR_0232,33,retired,xpress_power,46451,716.0,22477.98,18,WB
USR_0233,36,salaried,two_wheeler,96571,775.0,34512.52,21,WB
USR_0234,34,retired,two_wheeler,43755,709.0,20331.83,73,GJ
USR_0235,31,salaried,xpress_power,22421,716.0,11679.91,75,RJ
USR_0236,56,gig_worker,xpress_power,26733,651.0,11386.96,39,KA
USR_0237,62,self_employed,xpress_credit,22323,685.0,6440.66,70,KL
USR_0238,58,salaried,xpress_credit,140926,,80360.48,27,RJ
USR_0239,49,salaried,xpress_power,140703,607.0,37490.49,70,KA
USR_0240,19,self_employed,two_wheeler,199648,,53270.12,22,MH
USR_0241,61,self_employed,xpress_power,52828,655.0,5961.1,55,GJ
USR_0242,33,gig_worker,xpress_power,21711,,7787.22,30,AP
USR_0243,62,salaried,xpress_power,87982,,52553.55,21,RJ
USR_0244,37,retired,xpress_credit,14895,,6635.96,76,UP
USR_0245,55,gig_worker,xpress_power,35132,,6948.49,109,MH
USR_0246,19,self_employed,xpress_credit,40682,,13859.61,68,MH
USR_0247,35,self_employed,two_wheeler,93362,650.0,28398.65,12,TN
USR_0248,64,salaried,xpress_credit,113864,707.0,70673.48,30,WB
USR_0249,31,self_employed,xpress_credit,193362,712.0,31477.58,2,KL
USR_0250,52,gig_worker,xpress_credit,30481,644.0,11174.04,110,MH
USR_0251,33,gig_worker,xpress_power,10530,,5087.04,98,UP
USR_0252,25,self_employed,two_wheeler,27347,677.0,9055.24,13,RJ
USR_0253,48,gig_worker,xpress_power,30331,592.0,13731.82,60,TN
USR_0254,40,retired,xpress_power,46618,,4081.75,56,AP
USR_0255,32,salaried,xpress_power,59936,,9922.29,16,KL
USR_0256,50,salaried,xpress_power,112539,,50630.47,52,RJ
USR_0257,46,student,xpress_credit,6302,,3946.9,62,RJ
USR_0258,52,salaried,xpress_power,111774,,33711.17,5,KL
USR_0259,19,salaried,two_wheeler,78037,698.0,42466.83,58,GJ
USR_0260,56,salaried,two_wheeler,75428,,13520.97,101,TN
USR_0261,62,retired,two_wheeler,14795,740.0,5541.72,55,DL
USR_0262,70,student,xpress_credit,11737,,4218.42,105,WB
USR_0263,46,salaried,xpress_credit,41035,,27533.15,17,KA
USR_0264,26,gig_worker,two_wheeler,39873,,9234.15,114,DL
USR_0265,57,student,xpress_credit,5247,,3295.66,87,KA
USR_0266,41,salaried,xpress_power,71492,749.0,7514.87,43,GJ
USR_0267,18,salaried,xpress_credit,22788,,15307.29,21,WB
USR_0268,57,self_employed,xpress_power,58355,,28004.03,28,DL
USR_0269,68,retired,xpress_power,20759,,6763.14,111,DL
USR_0270,49,gig_worker,xpress_power,31888,,15426.71,67,RJ
USR_0271,66,farmer,xpress_credit,29953,,10809.02,114,UP
USR_0272,27,retired,two_wheeler,27153,,11637.09,95,GJ
USR_0273,33,farmer,two_wheeler,28953,732.0,3235.72,104,GJ
USR_0274,31,salaried,two_wheeler,70419,762.0,34462.25,51,WB
USR_0275,63,gig_worker,two_wheeler,38841,817.0,25141.87,18,GJ
USR_0276,38,student,xpress_power,3301,684.0,552.54,96,UP
USR_0277,28,self_employed,two_wheeler,199784,,31391.99,29,AP
USR_0278,38,salaried,two_wheeler,134246,637.0,36588.66,22,MH
USR_0279,60,gig_worker,xpress_power,9376,,1114.38,23,DL
USR_0280,46,gig_worker,xpress_credit,14251,735.0,798.99,1,TN
USR_0281,61,salaried,xpress_power,106396,559.0,56658.66,46,UP
USR_0282,56,retired,xpress_credit,29363,783.0,15992.38,54,WB
USR_0283,29,gig_worker,two_wheeler,21944,,10773.32,16,AP
USR_0284,68,self_employed,two_wheeler,195413,,58720.5,4,GJ
USR_0285,37,gig_worker,xpress_power,9013,,4335.05,54,DL
USR_0286,57,salaried,xpress_power,134654,569.0,41946.42,71,RJ
USR_0287,21,farmer,xpress_power,11643,803.0,4264.7,30,WB
USR_0288,35,self_employed,two_wheeler,120384,658.0,64387.55,58,GJ
USR_0289,55,salaried,xpress_credit,28428,,7485.81,55,RJ
USR_0290,50,salaried,xpress_credit,114134,,79771.21,118,KL
USR_0291,62,farmer,xpress_credit,23394,,11599.74,47,UP
USR_0292,31,farmer,two_wheeler,27008,610.0,18548.29,3,AP
USR_0293,30,salaried,xpress_credit,108808,,60788.66,19,UP
USR_0294,59,salaried,xpress_credit,40122,,22938.48,74,KL
USR_0295,22,salaried,xpress_credit,123899,,41376.44,57,AP
USR_0296,53,salaried,xpress_credit,57821,737.0,17880.76,84,TN
USR_0297,41,salaried,xpress_power,77424,,18072.43,92,UP
USR_0298,24,self_employed,xpress_credit,175814,731.0,57803.51,89,TN
USR_0299,30,salaried,xpress_power,64733,799.0,26883.31,21,MH
USR_0300,21,self_employed,xpress_power,112304,709.0,54070.25,20,MH
USR_0301,41,self_employed,xpress_credit,60601,,27626.57,37,TN
USR_0302,38,gig_worker,two_wheeler,32484,710.0,4817.72,68,RJ
USR_0303,59,gig_worker,xpress_credit,27446,577.0,14267.23,41,RJ
USR_0304,56,student,xpress_power,4633,,1691.29,85,RJ
USR_0305,22,gig_worker,xpress_power,39855,674.0,21403.51,76,MH
USR_0306,41,salaried,xpress_credit,45651,598.0,8257.65,7,DL
USR_0307,38,gig_worker,two_wheeler,38573,762.0,18467.17,116,WB
USR_0308,45,salaried,two_wheeler,15781,833.0,8708.08,63,RJ
USR_0309,19,self_employed,xpress_power,163335,591.0,61018.38,6,MH
USR_0310,56,retired,two_wheeler,42658,,28875.62,12,AP
USR_0311,27,gig_worker,xpress_credit,8475,604.0,3964.08,15,UP
USR_0312,65,self_employed,xpress_power,148043,812.0,66435.41,109,MH
USR_0313,20,salaried,xpress_power,146354,,10493.49,8,WB
USR_0314,54,farmer,two_wheeler,12133,,5459.17,118,MH
USR_0315,36,salaried,xpress_credit,148663,570.0,77508.52,34,MH
USR_0316,21,gig_worker,xpress_power,9529,,554.54,25,AP
USR_0317,20,salaried,two_wheeler,41819,,7185.25,93,MH
USR_0318,26,self_employed,two_wheeler,141717,,82771.8,108,GJ
USR_0319,26,retired,two_wheeler,10587,835.0,1725.1,21,DL
USR_0320,45,gig_worker,xpress_power,33556,590.0,17811.07,82,AP
USR_0321,28,salaried,two_wheeler,120400,657.0,42902.93,15,MH
USR_0322,44,salaried,two_wheeler,144295,705.0,71149.72,70,DL
USR_0323,26,self_employed,xpress_power,38795,,3883.41,67,KL
USR_0324,21,gig_worker,two_wheeler,30309,,16550.26,53,KL
USR_0325,63,retired,two_wheeler,43160,801.0,20813.49,82,KA
USR_0326,68,salaried,xpress_power,141688,,42980.15,46,WB
USR_0327,55,salaried,xpress_credit,17659,,10092.65,84,GJ
USR_0328,66,salaried,two_wheeler,76709,,52338.9,3,TN
USR_0329,59,salaried,two_wheeler,20075,673.0,11826.31,19,GJ
USR_0330,64,self_employed,xpress_credit,145565,713.0,16412.08,30,WB
USR_0331,26,student,two_wheeler,4762,,387.12,68,TN
USR_0332,45,salaried,two_wheeler,143775,669.0,24508.55,55,MH
USR_0333,33,salaried,two_wheeler,50292,816.0,35055.25,50,KL
USR_0334,38,self_employed,xpress_power,59812,721.0,7458.94,73,AP
USR_0335,26,salaried,xpress_power,61403,557.0,23722.44,47,KL
USR_0336,57,self_employed,two_wheeler,81853,575.0,12862.06,22,UP
USR_0337,57,salaried,two_wheeler,104906,577.0,21214.08,76,UP
USR_0338,62,salaried,xpress_credit,23770,,8495.0,105,DL
USR_0339,18,salaried,xpress_credit,57070,817.0,25261.84,27,GJ
USR_0340,25,salaried,xpress_power,127082,658.0,46172.28,40,UP
USR_0341,31,self_employed,two_wheeler,93375,,5002.92,46,MH
USR_0342,66,salaried,two_wheeler,73557,844.0,42051.12,49,TN
USR_0343,59,self_employed,xpress_credit,192024,,75953.11,59,KL
USR_0344,56,self_employed,xpress_power,78648,,6225.37,11,GJ
USR_0345,30,salaried,xpress_power,67781,621.0,43376.26,117,WB
USR_0346,62,salaried,two_wheeler,149393,764.0,11408.12,84,WB
USR_0347,35,salaried,xpress_credit,53211,633.0,33800.1,76,KL
USR_0348,68,self_employed,xpress_credit,81425,815.0,30648.36,51,DL
USR_0349,71,gig_worker,xpress_credit,15718,642.0,1464.74,16,KA
USR_0350,47,salaried,two_wheeler,37785,762.0,21734.49,95,AP
USR_0351,42,salaried,xpress_power,65583,656.0,21606.66,99,KA
USR_0352,62,salaried,xpress_credit,77493,744.0,47070.45,79,KA
USR_0353,58,gig_worker,two_wheeler,23434,649.0,7157.52,24,RJ
USR_0354,56,self_employed,two_wheeler,181675,,114194.2,65,RJ
USR_0355,64,gig_worker,two_wheeler,25297,,14283.15,11,KL
USR_0356,66,salaried,two_wheeler,26120,753.0,10808.39,31,RJ
USR_0357,21,salaried,xpress_power,20744,,7852.55,75,DL
USR_0358,62,self_employed,xpress_power,57093,811.0,30918.08,15,DL
USR_0359,70,self_employed,xpress_credit,163124,745.0,113641.59,73,DL
USR_0360,66,salaried,xpress_credit,40372,,10950.97,68,AP
USR_0361,22,salaried,two_wheeler,149308,,81408.12,87,TN
USR_0362,68,self_employed,two_wheeler,150641,,41063.41,108,WB
USR_0363,38,gig_worker,two_wheeler,29315,829.0,20515.05,13,TN
USR_0364,64,self_employed,xpress_power,154355,,37866.08,86,MH
USR_0365,41,self_employed,xpress_credit,87988,694.0,45056.46,118,RJ
USR_0366,36,farmer,two_wheeler,24595,795.0,3318.46,11,KA
USR_0367,56,salaried,xpress_power,31859,595.0,2306.59,70,WB
USR_0368,34,gig_worker,xpress_credit,12761,,7800.87,55,WB
USR_0369,53,salaried,xpress_credit,87805,,33570.4,115,GJ
USR_0370,67,salaried,two_wheeler,51304,,30160.97,111,KL
USR_0371,21,retired,xpress_power,58456,665.0,3043.17,81,KA
USR_0372,66,retired,xpress_power,58933,,20120.16,13,GJ
USR_0373,64,salaried,two_wheeler,39045,,19406.12,43,DL
USR_0374,20,self_employed,two_wheeler,29337,,8307.21,66,KA
USR_0375,58,gig_worker,two_wheeler,25079,,1398.43,19,AP
USR_0376,67,salaried,two_wheeler,25503,616.0,13506.78,25,WB
USR_0377,54,salaried,xpress_power,135356,676.0,84580.69,35,UP
USR_0378,19,salaried,xpress_power,92064,624.0,25477.18,3,KA
USR_0379,31,salaried,xpress_power,47955,,32169.41,102,MH
USR_0380,33,self_employed,two_wheeler,81312,,6720.19,66,AP
USR_0381,43,salaried,xpress_power,25350,,16578.86,55,KL
USR_0382,44,salaried,xpress_power,116084,818.0,51340.53,53,KA
USR_0383,36,student,two_wheeler,3182,,1088.49,10,KA
USR_0384,53,gig_worker,xpress_credit,34163,563.0,11993.34,110,UP
USR_0385,69,farmer,two_wheeler,6228,608.0,3450.16,82,RJ
USR_0386,29,salaried,xpress_credit,61154,790.0,23375.13,26,RJ
USR_0387,35,retired,xpress_credit,24087,706.0,15778.83,65,KL
USR_0388,60,farmer,xpress_power,10571,,5949.42,15,GJ
USR_0389,68,self_employed,xpress_power,143296,,70048.97,17,UP
USR_0390,40,student,xpress_credit,10094,,5183.07,13,TN
USR_0391,54,gig_worker,xpress_power,36099,,4277.27,83,MH
USR_0392,36,gig_worker,two_wheeler,21200,,6366.96,41,DL
USR_0393,52,salaried,xpress_credit,82055,562.0,26317.33,13,AP
USR_0394,53,salaried,xpress_power,41654,649.0,20434.56,45,UP
USR_0395,62,student,xpress_power,11967,,6331.89,70,GJ
USR_0396,61,salaried,two_wheeler,73283,784.0,21183.25,57,GJ
USR_0397,66,farmer,xpress_power,16849,595.0,3491.58,102,WB
USR_0398,41,farmer,two_wheeler,22058,,8169.44,111,KA
USR_0399,55,salaried,xpress_power,69131,,21324.9,65,RJ
USR_0400,37,gig_worker,xpress_credit,19023,,2577.37,76,RJ
