user_id,income_regularity,spending_consistency,bill_payment_ratio,savings_rate,emi_burden_ratio,upi_activity_volume,rent_payment_regularity,cash_withdrawal_ratio,TARGET,age,monthly_income,cibil_score,employment_type,loan_type,existing_emi,account_age_months
USR_1820,0.2496,0.3227,1.0,0.1621,0.3526,2.5,0.7011,0.0,0,61,39952,,gig_worker,two_wheeler,13340.2,116
USR_0070,0.0018,0.1695,1.0,0.494,0.0294,4.1667,0.7324,0.0395,0,50,118333,698.0,salaried,two_wheeler,9254.88,85
USR_0858,0.2482,0.5571,0.7,0.2986,0.4162,7.5,0.8223,0.1007,0,61,87255,,salaried,xpress_credit,52171.04,58
USR_1484,0.7367,0.4612,1.0,0.0485,0.3541,4.6667,0.7299,0.0637,0,63,14942,,gig_worker,two_wheeler,10129.73,10
USR_1556,0.7025,0.5474,0.7059,-1.0,0.1209,9.8333,0.7387,0.1063,1,57,10526,,farmer,two_wheeler,951.36,73
USR_1692,0.214,0.2316,0.75,-0.2363,0.3697,3.5,0.8499,0.1053,0,24,16320,573.0,salaried,two_wheeler,9543.88,65
USR_1475,0.5945,0.646,0.7143,-0.6093,0.2133,6.6667,0.6829,0.2361,0,59,22771,846.0,salaried,xpress_power,4602.44,109
USR_1799,0.2633,0.7252,1.0,-0.2133,0.6688,6.8333,0.6662,0.0789,1,62,110561,672.0,salaried,two_wheeler,68599.26,75
USR_0479,0.231,0.7281,0.6667,-0.2296,0.3298,7.5,0.7545,0.1058,0,45,69935,838.0,salaried,xpress_power,22995.59,19
USR_0282,0.4551,0.7378,0.7059,-1.0,0.6992,8.5,0.7619,0.1099,1,56,29363,783.0,retired,xpress_credit,15992.38,54
USR_1648,0.3822,0.5585,0.875,0.0316,0.3549,7.3333,0.8226,0.1212,0,68,24717,,retired,xpress_power,14659.61,65
USR_1557,0.6623,0.6464,0.75,-1.0,0.5813,3.3333,0.831,0.2635,1,41,28615,830.0,retired,two_wheeler,11773.28,63
USR_1730,0.0,0.328,1.0,0.3009,0.1895,4.3333,0.7749,0.0581,0,61,80428,,salaried,xpress_power,44889.67,26
USR_0211,0.4937,0.4435,0.6,-0.1863,0.1169,7.0,0.8629,0.1447,0,23,9939,,gig_worker,xpress_power,3928.49,20
USR_0298,0.3851,0.6041,0.6923,0.4035,0.2501,9.0,0.9048,0.055,0,24,175814,731.0,self_employed,xpress_credit,57803.51,89
USR_1885,0.4165,0.5584,0.8889,-0.1261,0.1021,4.8333,0.7183,0.1969,0,51,10860,769.0,gig_worker,xpress_power,1509.84,16
USR_1834,0.4925,0.5659,0.6364,0.0315,0.0242,8.3333,0.7205,0.129,0,67,13548,,farmer,xpress_power,1243.07,73
USR_0652,0.1201,0.7094,0.75,-1.0,0.1923,3.8571,0.5617,0.1259,1,43,19695,,gig_worker,xpress_power,3154.7,20
USR_1234,0.405,0.4292,1.0,0.3652,0.1504,8.0,0.7026,0.058,0,70,122855,611.0,salaried,xpress_power,20286.92,69
USR_1503,0.0,0.6193,0.8333,-1.0,0.7055,4.3333,0.6635,0.0343,1,24,78308,,salaried,xpress_credit,35724.08,78
USR_1932,0.0,0.1991,0.8,-1.0,0.8909,4.1667,0.8618,0.0996,1,54,139925,825.0,salaried,xpress_power,56922.91,86
USR_0917,0.5107,0.7551,1.0,-1.0,0.0919,7.1667,0.7999,0.352,1,28,6867,,student,xpress_credit,1751.84,92
USR_0994,0.7731,0.6843,0.9091,0.1529,0.0158,9.5,0.7899,0.2271,0,35,24682,,gig_worker,two_wheeler,2667.41,111
USR_0430,0.4378,0.5165,0.5556,0.1772,0.2512,6.0,0.7457,0.0853,0,45,38206,,gig_worker,xpress_power,12405.83,50
USR_1371,0.3484,0.785,0.5714,0.0278,0.14,8.1667,0.7652,0.2784,0,67,66097,,salaried,xpress_power,6596.28,56
USR_0240,0.3175,0.8637,0.875,0.5674,0.199,6.5,0.6965,0.0966,0,19,199648,,self_employed,two_wheeler,53270.12,22
USR_0880,0.3387,0.7076,0.8,-0.0552,0.328,8.1667,0.9069,0.0944,0,38,50297,,self_employed,xpress_credit,18334.27,45
USR_0621,0.0,0.5606,0.7143,-0.525,0.4698,5.5,0.8495,0.1048,1,40,21331,817.0,gig_worker,two_wheeler,7640.91,55
USR_0257,0.2283,0.7165,0.5,-1.0,0.3547,5.1667,0.7638,0.3005,1,46,6302,,student,xpress_credit,3946.9,62
USR_0612,0.0858,0.5276,0.8333,0.08,0.1832,6.0,0.7225,0.1031,0,32,141936,632.0,self_employed,xpress_credit,20771.11,62
USR_0545,0.4507,0.6257,1.0,0.0975,0.4038,6.0,0.7744,0.0905,0,68,73160,705.0,salaried,two_wheeler,32061.64,6
USR_0772,0.4154,0.6123,0.8824,0.3072,0.3735,7.5,0.7453,0.057,0,59,145560,723.0,salaried,xpress_power,90949.27,39
USR_1420,0.681,0.463,0.7143,0.2447,0.3018,8.2857,0.6779,0.161,0,41,69380,823.0,salaried,two_wheeler,21367.46,109
USR_1042,0.3331,0.44,1.0,0.2236,0.2837,5.3333,0.786,0.1487,0,41,43067,,salaried,xpress_credit,18551.36,105
USR_1790,0.0626,0.4704,0.8889,0.3002,0.2307,6.1667,0.7011,0.0771,0,43,116948,720.0,self_employed,xpress_credit,31038.72,82
USR_0760,0.177,0.4988,1.0,-0.9954,0.3047,5.6667,0.7733,0.2266,1,54,24179,,gig_worker,xpress_power,6178.7,15
USR_0383,0.5246,0.2731,1.0,-0.2241,0.0236,3.6667,0.3949,0.2703,0,36,3182,,student,two_wheeler,1088.49,10
USR_1104,0.3948,0.4373,0.875,-0.2742,0.6642,4.5,0.7397,0.0918,1,46,60934,696.0,self_employed,xpress_credit,42507.13,22
USR_0974,0.4418,0.4487,1.0,0.0036,0.4988,6.2857,0.6795,0.0274,0,38,85799,,salaried,xpress_credit,55909.11,3
USR_0353,0.0,0.7038,0.6667,0.0237,0.247,4.6667,0.6201,0.2204,0,58,23434,649.0,gig_worker,two_wheeler,7157.52,24
USR_1606,0.6151,0.5147,0.8571,-0.7168,0.0949,5.1667,0.7275,0.2748,0,32,8248,746.0,student,xpress_credit,1102.99,20
USR_1826,0.2708,0.207,0.75,0.314,0.1998,4.5,0.7194,0.0408,0,20,182304,,self_employed,xpress_credit,54489.88,24
USR_1037,0.3392,0.6924,0.8,-0.2379,0.2099,3.6667,0.8061,0.2245,0,31,11529,598.0,student,two_wheeler,6727.7,65
USR_1108,0.2165,0.6191,0.5714,-1.0,0.3911,6.1667,0.7791,0.1398,1,50,10287,740.0,student,two_wheeler,3170.86,61
USR_0495,0.3935,0.5991,0.8,-0.1579,0.3755,8.8333,0.7485,0.0968,0,61,31839,,self_employed,two_wheeler,10777.77,23
USR_0394,0.3742,0.6561,0.7692,-0.0447,0.2925,7.3333,0.733,0.0875,0,53,41654,649.0,salaried,xpress_power,20434.56,45
USR_1547,0.2801,0.4589,0.8,-0.0084,0.3308,9.2857,0.7139,0.1319,0,39,21060,,farmer,xpress_credit,10549.62,102
USR_0465,0.3339,0.3516,0.5,0.326,0.2307,3.8333,0.5,0.2093,0,63,33248,844.0,self_employed,two_wheeler,7472.65,28
USR_0887,0.0,0.3863,0.6667,0.3755,0.0788,5.5,0.7146,0.0928,0,36,92707,643.0,salaried,xpress_power,9028.18,22
USR_1194,0.0,0.4631,0.6667,0.2235,0.1352,4.8333,0.6531,0.093,0,32,145546,625.0,salaried,two_wheeler,20394.51,83
USR_0367,0.3291,0.2389,0.8,-0.1667,0.0404,3.6667,0.8303,0.2727,0,56,31859,595.0,salaried,xpress_power,2306.59,70
USR_1894,0.2886,0.5958,1.0,-1.0,0.4329,2.8333,0.5783,0.2568,1,51,9828,,farmer,xpress_power,3959.57,96
USR_1874,0.0589,0.6293,1.0,-0.5776,0.3737,4.1667,0.6319,0.2899,0,71,26251,814.0,salaried,two_wheeler,17362.77,99
USR_0745,0.2484,0.4869,0.7,-0.0416,0.1558,5.8333,0.7745,0.1664,0,28,133206,,salaried,xpress_power,18467.77,100
USR_0530,0.4837,0.8014,0.8462,-0.0699,0.4687,7.6667,0.688,0.109,0,56,42954,,self_employed,xpress_credit,26993.34,113
USR_0803,0.2453,0.6057,1.0,-0.2685,0.1393,3.6667,0.7724,0.162,0,54,30466,623.0,gig_worker,two_wheeler,3880.27,76
USR_1224,0.0605,0.7306,0.625,0.1251,0.256,4.6667,0.7362,0.0871,0,50,101782,675.0,self_employed,two_wheeler,17226.36,58
USR_1979,0.4875,0.7328,0.6,-0.2839,0.2419,5.8571,0.7322,0.1649,0,24,20436,,farmer,two_wheeler,12397.36,93
USR_1906,0.3429,0.4949,0.9,0.3674,0.1538,6.8333,0.7373,0.0581,0,66,199123,,self_employed,two_wheeler,46001.36,1
USR_1700,0.0,0.5054,0.625,-0.0029,0.5222,6.4286,0.7257,0.065,0,61,85366,,salaried,xpress_credit,39066.89,9
USR_1545,0.0,0.3814,1.0,-0.0649,0.4586,3.0,0.6893,0.0929,1,52,69499,736.0,salaried,xpress_credit,41360.74,114
USR_1314,0.3886,0.5734,1.0,-1.0,0.088,6.7143,0.7164,0.2787,0,62,23361,,farmer,xpress_power,1278.49,6
USR_0307,0.0,0.3576,1.0,0.3931,0.182,3.3333,0.7275,0.13,0,38,38573,762.0,gig_worker,two_wheeler,18467.17,116
USR_1667,0.6312,0.8419,0.9,0.2436,0.038,10.0,0.6873,0.1146,0,63,20270,,gig_worker,two_wheeler,1027.82,30
USR_0863,0.4258,0.4863,0.6667,0.6099,0.1177,6.8333,0.7122,0.0976,0,47,100617,647.0,salaried,xpress_credit,15659.24,73
USR_1567,0.3315,0.7204,0.6875,-1.0,0.4172,6.5,0.7358,0.1647,1,63,14227,620.0,gig_worker,xpress_credit,8982.2,2
USR_0531,0.6577,0.6489,0.8462,0.0839,0.472,7.8333,0.6926,0.0735,0,54,86045,681.0,salaried,xpress_credit,58566.79,72
USR_0655,0.2589,0.5504,0.7273,0.4002,0.1415,7.3333,0.8137,0.0532,0,61,184312,,self_employed,xpress_power,30886.96,118
USR_1260,0.4749,0.4429,0.75,0.1153,0.4812,5.6667,0.8341,0.045,0,65,132116,728.0,salaried,xpress_credit,48610.38,119
USR_0234,0.5454,0.5369,1.0,-0.146,0.1455,7.5,0.8053,0.082,0,34,43755,709.0,retired,two_wheeler,20331.83,73
USR_0121,0.0,0.4859,0.875,0.3801,0.1945,4.3333,0.7278,0.0759,0,18,194245,686.0,self_employed,xpress_credit,35668.6,57
USR_1698,0.0562,0.6244,1.0,0.4753,0.1676,2.6667,0.8333,0.162,0,24,82439,,self_employed,xpress_power,13460.73,32
USR_0950,0.5688,0.6427,0.6667,-0.7594,0.0782,7.6667,0.7116,0.2007,1,65,11593,,student,xpress_credit,2609.84,108
USR_0618,0.4184,0.5722,1.0,-0.3998,0.2529,8.3333,0.6787,0.2458,0,44,19083,792.0,farmer,xpress_credit,7155.62,102
USR_1179,0.1953,0.3948,0.6,-1.0,0.7938,2.5,0.7642,0.0473,1,24,19761,757.0,salaried,two_wheeler,9585.6,92
USR_0308,0.2159,0.4892,1.0,-0.6873,0.3389,3.3333,0.7377,0.0586,1,45,15781,833.0,salaried,two_wheeler,8708.08,63
USR_0136,0.7666,0.5444,0.5333,-0.5623,0.1881,6.0,0.7639,0.1872,1,40,12083,,farmer,xpress_credit,2328.17,86
USR_0555,0.1516,0.3685,0.8,0.3221,0.1457,7.1429,0.7176,0.1462,0,69,39508,,gig_worker,xpress_power,11095.25,107
USR_1674,0.2775,0.6647,1.0,-0.077,0.2143,9.0,0.8591,0.2085,0,38,16908,684.0,salaried,xpress_power,8146.68,65
USR_0584,0.0401,0.6237,0.9375,0.5367,0.0449,7.1667,0.6542,0.0235,0,35,83914,788.0,self_employed,xpress_credit,6391.54,76
USR_1641,0.5876,0.6662,0.8889,0.6289,0.1128,7.5714,0.7894,0.0368,0,21,196894,,self_employed,xpress_credit,44891.37,30
USR_0671,0.4059,0.584,0.8182,0.4057,0.1756,10.0,0.6956,0.0681,0,26,124164,,salaried,two_wheeler,33065.81,52
USR_0835,0.2161,0.5898,0.7273,0.6297,0.0988,8.6667,0.7834,0.0814,0,44,161341,678.0,self_employed,xpress_power,16185.33,42
USR_0110,0.3716,0.411,0.9231,-0.5979,0.1902,7.7143,0.7202,0.0911,0,56,15804,612.0,gig_worker,two_wheeler,5954.45,25
USR_1165,0.0686,0.5997,0.6923,0.0809,0.304,10.5,0.6049,0.1032,0,33,57679,,salaried,xpress_power,10146.66,18
USR_1960,0.0,0.5906,0.8333,-0.0623,0.1367,8.5,0.7889,0.0355,0,69,30236,639.0,retired,xpress_credit,5769.04,9
USR_1465,0.0,0.7061,0.8235,-0.1986,0.1647,8.0,0.7591,0.1281,0,68,33459,636.0,gig_worker,two_wheeler,6359.05,12
USR_1729,0.4175,0.4021,0.75,0.1945,0.4541,5.8571,0.7623,0.0428,0,27,114500,704.0,salaried,xpress_power,33400.69,15
USR_1243,0.0309,0.157,1.0,-0.0864,0.7453,2.6667,0.741,0.0453,0,30,77744,568.0,salaried,two_wheeler,41598.12,115
USR_0212,0.0218,0.4502,0.7273,0.155,0.0961,6.2857,0.6839,0.0903,0,43,147130,728.0,salaried,xpress_power,11332.3,106
USR_1768,0.0,0.2659,1.0,0.4441,0.2061,1.8333,0.5,0.0317,0,35,193343,636.0,self_employed,two_wheeler,49645.07,62
USR_1121,0.589,0.4167,0.6667,-1.0,0.0586,10.3333,0.8585,0.2462,1,37,7239,739.0,farmer,xpress_power,1414.91,92
USR_0680,0.8145,0.5761,0.6667,-0.194,0.3632,4.5,0.6195,0.0,0,52,15586,,self_employed,xpress_power,5704.68,104
USR_1951,0.5858,0.5072,0.7778,0.051,0.028,7.8333,0.7401,0.2135,0,65,27406,,gig_worker,xpress_power,1403.66,95
USR_1839,0.3783,0.4594,0.8,0.3636,0.17,4.0,0.9862,0.0873,0,50,88886,,self_employed,two_wheeler,32729.12,88
USR_0412,0.2747,0.2569,0.8,0.1879,0.3672,4.8333,0.4737,0.1197,0,61,35808,599.0,gig_worker,xpress_power,21662.41,28
USR_1325,0.2539,0.5232,0.6364,-1.0,0.4704,8.5,0.7762,0.2001,1,54,53057,801.0,salaried,two_wheeler,9275.52,73
USR_0783,0.2518,0.654,0.5556,-0.1167,0.2676,6.5,0.8268,0.1324,0,38,16168,845.0,salaried,xpress_credit,5310.03,63
USR_1346,0.0,0.1444,0.8571,-1.0,0.32,3.5,0.9892,0.0485,1,39,121777,648.0,self_employed,xpress_power,15962.34,23
USR_0875,0.5797,0.6594,0.8667,-1.0,0.2186,7.8333,0.7773,0.2974,0,35,13579,670.0,gig_worker,xpress_credit,7012.4,69
USR_1653,0.2801,0.766,0.8182,-0.0562,0.1961,5.6667,0.6392,0.0816,0,60,68294,,salaried,xpress_credit,11337.8,79
USR_1279,0.0,0.6038,0.7692,-1.0,0.9981,6.5,0.7512,0.0164,1,49,102052,748.0,salaried,two_wheeler,44145.75,12
USR_0786,0.5592,0.4985,0.5,0.425,0.1122,2.5,0.8242,0.2359,0,63,16780,669.0,farmer,xpress_power,5989.81,47
USR_1819,0.2853,0.3942,0.7778,0.3732,0.3975,6.1667,0.7011,0.0858,0,18,179964,731.0,self_employed,two_wheeler,74634.95,87
USR_1199,0.6514,0.7361,0.7778,0.0483,0.1222,8.1667,0.7376,0.2315,0,51,16974,,gig_worker,two_wheeler,4836.78,60
USR_0808,0.3438,0.6641,0.5789,0.3158,0.308,8.0,0.7474,0.058,0,19,92994,776.0,salaried,xpress_credit,53979.3,12
USR_0713,0.6098,0.4159,0.9231,-1.0,0.4397,7.5714,0.7078,0.4199,0,36,8529,593.0,student,xpress_credit,5801.86,97
USR_1991,0.5882,0.3748,0.7143,-0.3535,0.1834,8.0,0.8054,0.0944,0,70,13488,,student,xpress_power,6830.85,41
USR_1660,0.767,0.4881,0.9091,-0.3587,0.4441,6.0,0.8055,0.0699,0,28,29527,810.0,gig_worker,two_wheeler,13115.82,86
USR_1191,0.1018,0.6618,1.0,-1.0,0.2105,5.3333,0.9718,0.2273,1,37,13252,674.0,farmer,two_wheeler,5179.99,70
USR_1226,0.4702,0.4671,0.9333,0.3551,0.2528,6.8333,0.7612,0.0568,0,65,43481,,retired,two_wheeler,16889.15,48
